id,name,name_local,category,latitude,longitude,address,ramp_present,step_free_entrance,accessible_restroom,tactile_paving,audio_signage,braille_signage,lighting_level,noise_level,staff_assistance_available,notes,photo_url,accessibility_status,updated_at,source
poi_014,"Brihanmumbai Municipal Corporation HQ","बृहन्मुंबई महानगरपालिका मुख्यालय",govt_office,18.9396,72.8361,"Mahapalika Marg, Fort, Mumbai 400001",true,false,partial,false,false,false,medium,medium,true,"Heritage building. Ramp at side entrance.",,partially_accessible,2024-11-06T14:00:00Z,manual
poi_015,"State Bank of India Main Branch","भारतीय स्टेट बैंक मुख्य शाखा",bank,18.9303,72.8330,"Mumbai Samachar Marg, Fort, Mumbai 400023",true,true,full,false,false,false,high,low,true,"Priority service for persons with disabilities.",,accessible,2024-11-19T11:30:00Z,manual
poi_016,"Dadar Railway Station","दादर रेलवे स्टेशन",railway_station,19.0183,72.8428,"Dadar East, Mumbai 400014",true,false,partial,true,true,false,high,high,true,"Lift available on some platforms. Very crowded during peak hours.",,partially_accessible,2024-11-17T09:00:00Z,osm
poi_017,"Nehru Science Centre","नेहरू विज्ञान केंद्र",museum,18.9891,72.8190,"Dr E Moses Rd, Worli, Mumbai 400018",true,true,full,true,true,true,high,low,true,"Excellent accessibility. Tactile exhibits available.",,accessible,2024-11-21T12:00:00Z,manual
poi_018,"Crawford Market","क्रॉफर्ड मार्केट",market,18.9478,72.8361,"Lokmanya Tilak Marg, Fort, Mumbai 400001",false,false,none,false,false,false,medium,high,false,"Historic market. Narrow aisles, uneven floors. Very crowded.",,not_accessible,2024-11-03T16:00:00Z,user
poi_019,"Kokilaben Dhirubhai Ambani Hospital","कोकिलाबेन धीरूभाई अंबानी अस्पताल",hospital,19.1308,72.8268,"Rao Saheb Achutrao Patwardhan Marg, Andheri West, Mumbai 400053",true,true,full,true,true,true,high,low,true,"State-of-the-art accessibility. Valet parking for disabled visitors.",,accessible,2024-11-24T10:00:00Z,manual
poi_020,"Mumbai Metro - Andheri Station","मुंबई मेट्रो - अंधेरी स्टेशन",metro_station,19.1197,72.8464,"Andheri East, Mumbai 400069",true,true,full,true,true,true,high,medium,true,"Modern station with full accessibility. Lifts available.",,accessible,2024-11-26T08:00:00Z,manual
poi_021,"Passport Seva Kendra - BKC","पासपोर्ट सेवा केंद्र - बीकेसी",govt_office,19.0653,72.8697,"Bandra Kurla Complex, Mumbai 400051",true,true,full,true,false,false,high,low,true,"Priority counter for persons with disabilities. Bring wheelchair if needed.",,accessible,2024-11-16T10:30:00Z,manual
poi_022,"Mumbai International Airport T2","मुंबई अंतर्राष्ट्रीय हवाई अड्डा T2",airport,19.0896,72.8656,"Sahar, Andheri East, Mumbai 400099",true,true,full,true,true,true,high,medium,true,"Comprehensive accessibility. Request wheelchair assistance at check-in.",,accessible,2024-11-27T06:00:00Z,manual
poi_023,"Shivaji Park","शिवाजी पार्क",public_space,19.0282,72.8380,"Shivaji Park, Dadar West, Mumbai 400028",true,true,partial,false,false,false,medium,low,false,"Flat ground. Accessible pathway around park perimeter.",,partially_accessible,2024-11-09T07:30:00Z,user
poi_024,"R City Mall","आर सिटी मॉल",shopping,19.0939,72.9186,"LBS Marg, Ghatkopar West, Mumbai 400086",true,true,full,false,false,false,high,medium,true,"Large mall with lifts. Wheelchair available at entrance.",,accessible,2024-11-20T14:00:00Z,manual
poi_025,"Powai Lake","पवई झील",public_space,19.1273,72.9050,"Powai, Mumbai 400076",false,true,none,false,false,false,medium,low,false,"Walking path partially accessible. Uneven terrain in some areas.",,partially_accessible,2024-11-11T16:00:00Z,user
poi_026,"St. Xavier's College","सेंट जेवियर्स कॉलेज",school,18.9428,72.8319,"5, Mahapalika Marg, Fort, Mumbai 400001",true,false,partial,false,false,false,high,low,true,"Heritage building with limited accessibility. New block has lift.",,partially_accessible,2024-11-07T10:00:00Z,manual
poi_027,"IIT Bombay Main Gate","आईआईटी बॉम्बे मुख्य द्वार",school,19.1334,72.9133,"Powai, Mumbai 400076",true,true,full,true,false,false,high,low,true,"Campus has good accessibility. Electric vehicles available for mobility.",,accessible,2024-11-13T09:00:00Z,manual
poi_028,"NCPA - National Centre for the Performing Arts","एनसीपीए",cultural,18.9261,72.8227,"Nariman Point, Mumbai 400021",true,true,full,false,true,false,high,low,true,"Wheelchair seating in all auditoriums. Book in advance.",,accessible,2024-11-22T18:00:00Z,manual
poi_029,"Chor Bazaar","चोर बाज़ार",market,18.9633,72.8292,"Mutton Street, Kumbharwada, Mumbai 400003",false,false,none,false,false,false,low,high,false,"Narrow lanes, crowded, uneven ground. Not recommended for wheelchair users.",,not_accessible,2024-11-02T11:00:00Z,user
poi_030,"Dr. Bhau Daji Lad Museum","डॉ. भाऊ दाजी लाड म्यूजियम",museum,18.9797,72.8352,"91/A, Rani Baug, Byculla East, Mumbai 400027",true,true,full,false,true,true,high,low,true,"Restored heritage building with excellent accessibility.",,accessible,2024-11-18T13:00:00Z,manual
poi_031,"Versova Beach","वर्सोवा बीच",public_space,19.1343,72.8139,"Versova, Andheri West, Mumbai 400061",false,true,none,false,false,false,medium,medium,false,"Beach access difficult. Nearby promenade somewhat accessible.",,not_accessible,2024-11-04T17:00:00Z,user
poi_032,"Borivali National Park (Sanjay Gandhi)","संजय गांधी राष्ट्रीय उद्यान",park,19.2147,72.9100,"Borivali East, Mumbai 400066",true,true,partial,false,false,false,high,low,true,"Main entrance accessible. Some trails are paved. Safari bus is accessible.",,partially_accessible,2024-11-15T08:00:00Z,manual
poi_033,"Oberoi Mall","ओबेरॉय मॉल",shopping,19.1772,72.8486,"Western Express Highway, Goregaon East, Mumbai 400063",true,true,full,false,false,false,high,medium,true,"Good accessibility with lifts and escalators.",,accessible,2024-11-23T12:00:00Z,manual
poi_034,"Haji Ali Dargah","हाजी अली दरगाह",religious,18.9827,72.8089,"Haji Ali, Mumbai 400026",false,false,none,false,false,false,medium,medium,true,"Causeway is narrow and slippery when wet. Wheelchair assistance available but difficult.",,not_accessible,2024-11-10T15:00:00Z,user
poi_035,"Linking Road Shopping Area","लिंकिंग रोड",market,19.0660,72.8338,"Linking Road, Bandra West, Mumbai 400050",false,true,none,false,false,false,high,high,false,"Street shopping. Crowded pavements, uneven surfaces.",,partially_accessible,2024-11-08T14:00:00Z,user
poi_036,"Regional Transport Office - Andheri","आरटीओ अंधेरी",govt_office,19.1153,72.8540,"Andheri East, Mumbai 400069",true,true,partial,false,false,false,medium,high,true,"Priority queue for disabled persons. Can be very crowded.",,partially_accessible,2024-11-14T11:00:00Z,manual
poi_037,"Asiatic Society Library","एशियाटिक सोसाइटी पुस्तकालय",library,18.9271,72.8329,"Horniman Circle, Fort, Mumbai 400001",false,false,none,false,false,false,medium,low,true,"Historic building with many stairs. Staff can assist with specific requests.",,not_accessible,2024-11-06T10:00:00Z,manual
poi_038,"Infinity Mall - Andheri","इन्फिनिटी मॉल - अंधेरी",shopping,19.1333,72.8254,"Link Road, Andheri West, Mumbai 400053",true,true,full,false,false,false,high,medium,true,"Full accessibility with lifts on all floors.",,accessible,2024-11-21T15:00:00Z,manual
poi_039,"Chembur Railway Station","चेंबूर रेलवे स्टेशन",railway_station,19.0625,72.8975,"Chembur, Mumbai 400071",false,false,none,false,true,false,medium,high,true,"Old station with stairs to platforms. Renovation planned.",,not_accessible,2024-11-12T08:00:00Z,osm
poi_040,"Mount Mary Church","माउंट मेरी चर्च",religious,19.0480,72.8195,"Mt Mary Road, Bandra West, Mumbai 400050",true,false,partial,false,false,false,high,low,true,"Main entrance has steps. Side ramp available. Very crowded during festivals.",,partially_accessible,2024-11-09T09:00:00Z,user
poi_041,"KEM Hospital","केईएम अस्पताल",hospital,19.0005,72.8420,"Acharya Donde Marg, Parel, Mumbai 400012",true,true,partial,false,false,false,high,medium,true,"Government hospital. Accessibility varies by building. Main OPD accessible.",,partially_accessible,2024-11-19T10:00:00Z,manual
poi_042,"Colaba Causeway","कोलाबा कॉजवे",market,18.9175,72.8312,"Colaba, Mumbai 400005",false,true,none,false,false,false,high,high,false,"Busy street market. Uneven pavements, crowds.",,partially_accessible,2024-11-07T16:00:00Z,user
poi_043,"Mumbai Metro - Versova Station","मुंबई मेट्रो - वर्सोवा स्टेशन",metro_station,19.1324,72.8186,"Versova, Andheri West, Mumbai 400061",true,true,full,true,true,true,high,medium,true,"Modern accessible metro station.",,accessible,2024-11-25T07:00:00Z,manual
poi_044,"Sion Hospital","सायन अस्पताल",hospital,19.0405,72.8642,"Dr Babasaheb Ambedkar Rd, Sion, Mumbai 400022",true,true,partial,false,false,false,high,medium,true,"Large public hospital. Main buildings accessible. Some older wings less so.",,partially_accessible,2024-11-17T11:00:00Z,manual
poi_045,"Mahim Railway Station","माहिम रेलवे स्टेशन",railway_station,19.0424,72.8404,"Mahim, Mumbai 400016",false,false,none,false,true,false,medium,high,true,"Old station. Steps to platform. FOB not accessible.",,not_accessible,2024-11-11T09:00:00Z,osm
poi_046,"Bombay Stock Exchange","बॉम्बे स्टॉक एक्सचेंज",business,18.9253,72.8326,"Dalal Street, Fort, Mumbai 400001",true,true,full,false,false,false,high,low,true,"Modern building with good accessibility. Visitor access restricted.",,accessible,2024-11-20T09:00:00Z,manual
poi_047,"Dharavi","धारावी",neighborhood,19.0425,72.8543,"Dharavi, Mumbai 400017",false,false,none,false,false,false,low,high,false,"Dense informal settlement. Very narrow lanes, not wheelchair accessible.",,not_accessible,2024-11-05T14:00:00Z,osm
poi_048,"Worli Sea Face","वरळी सी फेस",public_space,19.0076,72.8134,"Worli, Mumbai 400030",true,true,none,false,false,false,medium,medium,false,"Promenade is flat and accessible. No public toilets.",,partially_accessible,2024-11-13T17:00:00Z,user
poi_049,"Inorbit Mall - Malad","इनऑर्बिट मॉल - मालाड",shopping,19.1773,72.8391,"Link Road, Malad West, Mumbai 400064",true,true,full,false,false,false,high,medium,true,"Full accessibility. Free wheelchair at guest services.",,accessible,2024-11-24T13:00:00Z,manual
poi_050,"Aarey Colony","आरे कॉलोनी",park,19.1546,72.8734,"Aarey Road, Goregaon East, Mumbai 400065",false,true,none,false,false,false,medium,low,false,"Green area with paved roads. Off-road trails not accessible.",,partially_accessible,2024-11-16T08:00:00Z,user
